timestamp,cpu,ram,tx_bytes,rx_bytes
1605182775385031437,10.31,40.6057,333271571409,165461357712
1605182775798463123,10.31,40.5951,333271606178,165461379079
1605182776211715113,12.24,40.6076,333271661550,165461407220
1605182776626168130,13.4,40.5877,333271707473,165461432467
1605182777039289276,13.4,40.5981,333271741884,165461453746
1605182777456736366,17.14,40.601,333271793938,165461479368
1605182777871540635,17.14,40.6028,333271838612,165461506863
1605182778284699263,13.27,40.6029,333271874196,165461527916
1605182778697893726,12.37,40.5904,333271907704,165461548496
1605182779111358282,10.31,40.5912,333271964718,165461580700
1605182779525100688,12.24,40.5936,333272010343,165461604381
1605182779938605741,12.24,40.5953,333272045794,165461625680
1605182780354270412,15.69,40.5992,333272101416,165461653003
1605182780768679959,15.69,40.5906,333272140849,165461676606
1605182781182030322,9.47,40.5998,333272176529,165461697911
1605182781595544902,9.47,40.6014,333272225003,165461720483
1605182782009291400,9.47,40.6014,333272272729,165461750480
1605182782422393486,19.42,40.5965,333272305753,165461771656
1605182782836346091,19.42,40.5981,333272339294,165461792659
1605182783251025332,15,40.5928,333272399881,165461822488
1605182783664165257,14.14,40.6028,333272442113,165461845570
1605182784078759007,14.14,40.6035,333272482129,165461867411
1605182784491771924,11.11,40.6033,333272538887,165461893300
1605182784907210186,11.11,40.5967,333272580054,165461920836
1605182785324286208,15,40.5965,333272617652,165461942498
1605182785737606594,13.4,40.6002,333272653090,165461963880
1605182786154996729,13.73,40.608,333272711408,165461993216
1605182786569007203,16.5,40.6071,333272747670,165462015757
1605182786982728171,16.5,40.6178,333272783600,165462037490
1605182787396314955,15.31,40.6127,333272841555,165462063835
1605182787810147484,15.31,40.6207,333272882133,165462090214
1605182788223295531,10.31,40.6268,333272917581,165462110557
1605182788636981556,10.42,40.6344,333272954753,165462132647
1605182789051802924,10.42,40.6412,333273015454,165462163380
1605182789465551528,13.13,40.6404,333273052350,165462184700
1605182789885982643,13.13,40.6451,333273089562,165462206433
1605182790301552936,18,40.6033,333273143539,165462233452
1605182790715297980,18,40.6041,333273188250,165462259450
1605182791129002460,18,40.6072,333273223888,165462280677
1605182791548565601,9.38,40.6096,333273265928,165462304257
1605182791964606081,9.38,40.6028,333273319992,165462333514
1605182792378257614,17,40.6012,333273352042,165462354848
1605182792798037936,18.81,40.6057,333273385461,165462376048
1605182793212523871,16.35,40.6141,333273441963,165462403935
1605182793625550854,17.31,40.6104,333273481875,165462428617
1605182794041276304,17.31,40.6029,333273516284,165462451507
1605182794456417004,10.42,40.6061,333273572851,165462477834
1605182794871251930,10.42,40.5996,333273617869,165462505018
1605182795285152656,14,40.6072,333273651565,165462526478
1605182795698717331,18.27,40.6108,333273687166,165462548168
1605182796113225435,18.27,40.602,333273741542,165462577130
1605182796526375969,13,40.5904,333273778598,165462600595
1605182796940166969,13,40.6133,333273815347,165462622146
1605182797353348435,10.64,40.608,333273876693,165462649863
1605182797767210239,13.68,40.6094,333273918029,165462676760
1605182798180319707,13.68,40.6002,333273954384,165462698656
1605182798594245873,14,40.5973,333273991679,165462719608
1605182799008046112,14,40.6057,333274050088,165462750368
1605182799423373282,13.27,40.6112,333274090876,165462773473
1605182799841727945,11.34,40.6094,333274126211,165462793836
1605182800254846764,11.11,40.6026,333274182073,165462820700
1605182800669228591,15.69,40.6033,333274225613,165462847054
1605182801082229551,15.69,40.6065,333274259169,165462867525
1605182801495212455,20.18,40.6127,333274292395,165462888641
1605182801909273676,20.18,40.6065,333274329715,165462910496
1605182802323214601,21.62,40.608,333274368365,165462932266
1605182802736235453,22.22,40.6065,333274398075,165462952335
1605182803149649071,22.22,40.6004,333274431133,165462972980
1605182803562869428,18.35,40.608,333274466528,165462993748
1605182803976907852,18.35,40.6065,333274500402,165463015035
1605182804390963732,20,40.6096,333274531062,165463035931
1605182804804723109,21.82,40.6018,333274568578,165463057934
1605182805217928431,21.82,40.6049,333274600842,165463078667
1605182805632305540,17.92,40.608,333274632783,165463099361
1605182806046346539,17.92,40.5942,333274672473,165463120686
1605182806459684039,19.44,40.6033,333274705752,165463141248
1605182806873322097,19.44,40.6063,333274742138,165463162483
1605182807289238573,24.55,40.6072,333274777720,165463183513
1605182807702917151,25.45,40.6002,333274812260,165463205248
1605182808116555055,25.45,40.6049,333274843850,165463224857
1605182808530121040,17.76,40.6106,333274877451,165463245677
1605182808943413062,17.76,40.6121,333274917285,165463270853
1605182809356953002,20,40.6035,333274948859,165463290985
1605182809770825593,23.42,40.6049,333274984340,165463311837
1605182810184769444,23.42,40.608,333275019768,165463332912
1605182810597829516,15.38,40.5942,333275057670,165463354408
1605182811012363017,15.38,40.6094,333275091983,165463375459
1605182811427828018,16.19,40.599,333275123471,165463395495
1605182811850750001,17.92,40.6028,333275159385,165463417497
1605182812266195814,17.92,40.6094,333275195734,165463438055
1605182812680696613,22.86,40.6049,333275231330,165463459057
1605182813094099553,22.86,40.6121,333275265938,165463479333
1605182813512958589,21.7,40.6373,333275300306,165463502489
1605182813930425182,17.92,40.6094,333275337344,165463525823
1605182814346112603,21.7,40.5928,333275373166,165463547041
1605182814759413282,22.12,40.602,333275403053,165463567593
1605182815173626582,22.12,40.6004,333275440283,165463587914
1605182815589033245,17.92,40.6049,333275474007,165463609180
1605182816004149508,17.92,40.602,333275507795,165463629721
1605182816423172979,19.44,40.5776,333275543391,165463650545
1605182816838010500,21.5,40.5973,333275575123,165463670700
1605182817252522780,21.5,40.6004,333275607177,165463691583
1605182817666856598,20.91,40.5914,333275643017,165463712501
1605182818089833257,20.91,40.5957,333275676603,165463733016
1605182818506804215,21.5,40.5811,333275714281,165463754466
1605182818921509061,19.05,40.5973,333275744084,165463774299
1605182819346784764,19.05,40.5901,333275781816,165463796535
1605182819770813078,20.56,40.601,333275813653,165463817105
1605182820185038983,20.56,40.6026,333275847588,165463837716
1605182820598179990,19.44,40.608,333275891391,165463860338
1605182821011855452,19.44,40.5942,333275935142,165463888289
1605182821426473768,17.92,40.5897,333275972734,165463909915
1605182821840732971,18.27,40.5928,333276004170,165463931049
1605182822255361257,18.27,40.6028,333276060295,165463959626
1605182822669096407,14.29,40.6102,333276099450,165463984279
1605182823083256945,14.29,40.5973,333276131694,165464003762
1605182823503261525,6.38,40.5981,333276187350,165464030231
1605182823918157309,13.27,40.5988,333276228177,165464056055
1605182824331605064,13.27,40.608,333276264775,165464077345
1605182824745453453,18.69,40.6026,333276302077,165464098809
1605182825159160274,18.69,40.6026,333276356045,165464127685
1605182825573229505,15.84,40.6094,333276403189,165464155325
1605182825986925709,13.27,40.6065,333276441594,165464175924
1605182826401224844,13.27,40.61,333276499867,165464203289
